name,rating,number_of_photos,message,name_clean,name_length,rating_clean,rating_length,number_of_photos_clean,number_of_photos_length,message_clean,message_length
T. Oliver,,2.0,"2 meses atrás Nunca fui tão maltratado e mal atendido em um estabelecimento. Funcionários extremamente preconceituosos, que praticam ativamente a discriminação. Quem está bem vestido, é bem atendido. Moro ao lado do estabelecimento, fui de pijama, mal olharam para mim e foram extremamente grosseiros e desrespeitosos no turno da noite. ❤️2  /",t. oliver,9,nan,3,2.0,3,"2 meses atrás nunca fui tão maltratado e mal atendido em um estabelecimento. funcionários extremamente preconceituosos, que praticam ativamente a discriminação. quem está bem vestido, é bem atendido. moro ao lado do estabelecimento, fui de pijama, mal olharam para mim e foram extremamente grosseiros e desrespeitosos no turno da noite. ❤️2 /",342
Ms. Deborah B.,,14.0,"um mês atrás O atendimento na loja é ok, mas no Ifood e no whatsapp é péssimo. Precisam colocar humanos para trabalhar ao invés de robôs ineficientes.  /",ms. deborah b.,14,nan,3,14.0,4,"um mês atrás o atendimento na loja é ok, mas no ifood e no whatsapp é péssimo. precisam colocar humanos para trabalhar ao invés de robôs ineficientes. /",152
Paulo Carvalho,5.0/5,835.0,"Editado 6 meses atrás Refeição no local  /  Almoço  /  R$ 80–100 Para mim melhor doceria , Atendimento muito bom. Essa unidade tem bastante mesas. Comida: 5/5  /  Serviço: 5/5  /  Ambiente: 5/5 Pratos recomendados Coxa Creme e Mil Folhas Com Café Expresso  /",paulo carvalho,14,5.0/5,5,835.0,5,"editado 6 meses atrás refeição no local / almoço / r$ 80–100 para mim melhor doceria , atendimento muito bom. essa unidade tem bastante mesas. comida: 5/5 / serviço: 5/5 / ambiente: 5/5 pratos recomendados coxa creme e mil folhas com café expresso /",249
Luiz Mandarano,,,"5 meses atrás Hoje foi lamentável. 10:05 h. Fiquei sentado no salão interno, para degustar um salgado. Vários funcionários conversando e mesmo fazendo sinal, não consegui ser atendido. Passei no caixa, paguei a rosca que comprei e reclamei. Sou cliente dessa loja desde a abertura dela. Lamentável. Se faz necessário um provável treinamento. Luiz Mandarano. SP. 28/02/25. ❤️3  /",luiz mandarano,14,nan,3,nan,3,"5 meses atrás hoje foi lamentável. 10:05 h. fiquei sentado no salão interno, para degustar um salgado. vários funcionários conversando e mesmo fazendo sinal, não consegui ser atendido. passei no caixa, paguei a rosca que comprei e reclamei. sou cliente dessa loja desde a abertura dela. lamentável. se faz necessário um provável treinamento. luiz mandarano. sp. 28/02/25. ❤️3 /",377
Amanda Bricoli,,350.0,"um ano atrás Recentemente reformada, ficou muito bonita, praticamente todos os funcionários muito educados. Tirando uma funcionária do caixa que é bem mal humorada, todo o resto é um amor no atendimento. Possuem programa de pontos há pouco tempo, sempre bom avisar o cpf com antecedência pois a “mal humorada” não pede cpf então não inclui seus pontos. Tudo muito gostoso porém valor bem elevado. ❤️1  /",amanda bricoli,14,nan,3,350.0,5,"um ano atrás recentemente reformada, ficou muito bonita, praticamente todos os funcionários muito educados. tirando uma funcionária do caixa que é bem mal humorada, todo o resto é um amor no atendimento. possuem programa de pontos há pouco tempo, sempre bom avisar o cpf com antecedência pois a “mal humorada” não pede cpf então não inclui seus pontos. tudo muito gostoso porém valor bem elevado. ❤️1 /",402
Sidney Machado,,3.0,"2 semanas atrás NOVA Que gelato magnífico, começa pelo nome DUBAI, teletransporte pelo sabor e elegancia  /",sidney machado,14,nan,3,3.0,3,"2 semanas atrás nova que gelato magnífico, começa pelo nome dubai, teletransporte pelo sabor e elegancia /",106
Icaro Venzon,,93.0,"4 anos atrás Atendimento perfeito, ambiente limpíssimo e os doces são incríveis! Não deixem de provar os sorvetes! 🙏1",icaro venzon,12,nan,3,93.0,4,"4 anos atrás atendimento perfeito, ambiente limpíssimo e os doces são incríveis! não deixem de provar os sorvetes! 🙏1",117
Natália Magno,,536.0,um ano atrás Foi reformada e reaberta no início desse mês e está muito melhor em espaço físico e opções. Gostei muito da experiência! Irei voltar para experimentar outros salgados etc do cardápio. 🙏1  /,natália magno,13,nan,3,536.0,5,um ano atrás foi reformada e reaberta no início desse mês e está muito melhor em espaço físico e opções. gostei muito da experiência! irei voltar para experimentar outros salgados etc do cardápio. 🙏1 /,201
Ricardo Luis Jordão de Magalhães,5.0/5,733.0,Editado um ano atrás Ofner com uma varanda ótima para tomar um café e comer salgados e doces. Não tem estacionamento. Porém o atendimento é muito bom. Tortinha de morango sensacional. Agora está tendo festival do pistache. Mil folhas com creme de pistache deliciosa. Comida: 5/5  /  Serviço: 5/5  /  Ambiente: 5/5 ❤️1  /,ricardo luis jordão de magalhães,32,5.0/5,5,733.0,5,editado um ano atrás ofner com uma varanda ótima para tomar um café e comer salgados e doces. não tem estacionamento. porém o atendimento é muito bom. tortinha de morango sensacional. agora está tendo festival do pistache. mil folhas com creme de pistache deliciosa. comida: 5/5 / serviço: 5/5 / ambiente: 5/5 ❤️1 /,315
Gustavo Auni,1.0/5,,"·1 foto 9 meses atrás Eu e meus amigos escolhemos esta confeitaria para um aniversario surpresa de um grande amigo nosso. Quando fomos buscar o bolo no dia e horario combinado, uma hora antes da festa surpresa acontecer, o chefe não fez nosso bolo e foi embora. E a atendente nos pediu desculpas e nos disse apenas isso. Obviamente nunca mais iremos dar preferencia a este lugar e agora estamos atras de outra confeitaria de ultima hora. Experiência horrível !!! NÃO RECOMENDO Serviço: 1/5  /",gustavo auni,12,1.0/5,5,nan,3,"·1 foto 9 meses atrás eu e meus amigos escolhemos esta confeitaria para um aniversario surpresa de um grande amigo nosso. quando fomos buscar o bolo no dia e horario combinado, uma hora antes da festa surpresa acontecer, o chefe não fez nosso bolo e foi embora. e a atendente nos pediu desculpas e nos disse apenas isso. obviamente nunca mais iremos dar preferencia a este lugar e agora estamos atras de outra confeitaria de ultima hora. experiência horrível !!! não recomendo serviço: 1/5 /",491
Thiago Canato,1.7/5,,"9 meses atrás Conheço essa unidade Ofner desde que me mudei para o bairro, isso já tem quase 20 anos. Até uns 3 anos atrás era uma loja bem melhor. Os doces, salgados e bolos diminuíram praticamente pela metade do tamanho que eram e o preço mais que dobrou. É aquela sensação que você paga e não leva. Parei de frequentar, pois a região tem lojas oferecendo produtos melhores, com tamanho e preço justos. Comida: 1/5  /  Serviço: 1/5  /  Ambiente: 3/5 🙏2  /",thiago canato,13,1.7/5,5,nan,3,"9 meses atrás conheço essa unidade ofner desde que me mudei para o bairro, isso já tem quase 20 anos. até uns 3 anos atrás era uma loja bem melhor. os doces, salgados e bolos diminuíram praticamente pela metade do tamanho que eram e o preço mais que dobrou. é aquela sensação que você paga e não leva. parei de frequentar, pois a região tem lojas oferecendo produtos melhores, com tamanho e preço justos. comida: 1/5 / serviço: 1/5 / ambiente: 3/5 🙏2 /",452
Vera Somma,2.7/5,,"10 meses atrás Cliente da Ofner há muitos anos, após a reforma a loja ficou bonita, mas não está correspondendo ao padrão “Ofner”. Hoje pedimos mil folhas - o que veio foi quase só chantilly. Pouquíssimo creme e massa folhada. A tortinha de morango também quase sem creme, massa muito dura. O café nem pedimos mais. Vem frio. O da padaria é melhor. Ah… tempo de atendimento também deixa a desejar. Temos insistido em voltar, esperando melhora, mas ela não parece estar vindo. Comida: 2/5  /  Serviço: 2/5  /  Ambiente: 4/5 ❤️1  /",vera somma,10,2.7/5,5,nan,3,"10 meses atrás cliente da ofner há muitos anos, após a reforma a loja ficou bonita, mas não está correspondendo ao padrão “ofner”. hoje pedimos mil folhas - o que veio foi quase só chantilly. pouquíssimo creme e massa folhada. a tortinha de morango também quase sem creme, massa muito dura. o café nem pedimos mais. vem frio. o da padaria é melhor. ah… tempo de atendimento também deixa a desejar. temos insistido em voltar, esperando melhora, mas ela não parece estar vindo. comida: 2/5 / serviço: 2/5 / ambiente: 4/5 ❤️1 /",524
Paulinho TV,,8.0,"6 meses atrás Excelente localização, atendimento impecável, cardápio variado, produtos de alta qualidade e preço justo pelo o que é oferecido!! Parabéns 🎊🤩👏  /",paulinho tv,11,nan,3,8.0,3,"6 meses atrás excelente localização, atendimento impecável, cardápio variado, produtos de alta qualidade e preço justo pelo o que é oferecido!! parabéns 🎊🤩👏 /",158
Lucas Brasileiro,,,"5 meses atrás Atendimento muito demorado. Está sempre cheio, a quantidade de funcionários não dá conta. Precisam melhorar.  /",lucas brasileiro,16,nan,3,nan,3,"5 meses atrás atendimento muito demorado. está sempre cheio, a quantidade de funcionários não dá conta. precisam melhorar. /",124
J Abrahao Urologista,3.7/5,,"·1 foto Editado 9 meses atrás Refeição no local  /  Outro  /  R$ 40–60 Depois que o suposto ""guarda carros"" que não é confiável, e acabou me ameaçando na saída, porque não gostou da minha gratificação, Eu jamais voltaria nessa loja!!!! Vou verificar em uma próxima vez se ele continua na porta, e se estiver eu me dispesso de vocês. Ele nem estava presente na minha chegada, e ainda jogou para dentro do meu carro a gratificação. Enfim, a falta de um bom segurança que já teve anteriormente é fundamental para nossa segurança, já que não temos estacionamento disponivel. Sinceramente, se esse sujeito estiver lá na próxima sexta-feira quando passo momentos agradáveis com meu neto, eu não vou estacionar. Obrigado Comida: 5/5  /  Serviço: 4/5  /  Ambiente: 2/5  /",j abrahao urologista,20,3.7/5,5,nan,3,"·1 foto editado 9 meses atrás refeição no local / outro / r$ 40–60 depois que o suposto ""guarda carros"" que não é confiável, e acabou me ameaçando na saída, porque não gostou da minha gratificação, eu jamais voltaria nessa loja!!!! vou verificar em uma próxima vez se ele continua na porta, e se estiver eu me dispesso de vocês. ele nem estava presente na minha chegada, e ainda jogou para dentro do meu carro a gratificação. enfim, a falta de um bom segurança que já teve anteriormente é fundamental para nossa segurança, já que não temos estacionamento disponivel. sinceramente, se esse sujeito estiver lá na próxima sexta-feira quando passo momentos agradáveis com meu neto, eu não vou estacionar. obrigado comida: 5/5 / serviço: 4/5 / ambiente: 2/5 /",754
Marcio Araujo,5.0/5,,"8 meses atrás Fazia muito tempo que não frequentava essa loja da unidade Perdizes, e que vamos combinar e uma rede incrivel. Sábado está na região e passei para um simples café, mas o que não esperava era o melhor atendimento que já recebi na vida. Uma jovem de sorriso fácil, voz mansa e um atendimento impecável. Sophia atendia a todos de maneira impecável!!! Obrigado. Por mais Sophias no mundo! Comida: 5/5  /  Serviço: 5/5  /  Ambiente: 5/5  /",marcio araujo,13,5.0/5,5,nan,3,"8 meses atrás fazia muito tempo que não frequentava essa loja da unidade perdizes, e que vamos combinar e uma rede incrivel. sábado está na região e passei para um simples café, mas o que não esperava era o melhor atendimento que já recebi na vida. uma jovem de sorriso fácil, voz mansa e um atendimento impecável. sophia atendia a todos de maneira impecável!!! obrigado. por mais sophias no mundo! comida: 5/5 / serviço: 5/5 / ambiente: 5/5 /",443
Cleber Kouyomdjian,4.0/5,6.0,"9 meses atrás Ontem passamos aqui no final do dia e o segurança, as 9:55 quase jogou a mesa em nossa mão, afinal está na hora de ele ir embora. Voltamos hoje, o mesmo segurança aqui, com a mão no bolso, batendo papo com as atendentes… fiz meu pedido e 4 mesas foram atendidas na minha frente. Fui perguntar e a desculpa foi pior ainda. E a atendente batendo papo com o segurança. Aqui já foi bom, reformaram o ambiente e destruíram o atendimento. Acho isso um absurdo. Um monte de funcionário sem fazer nada… clientes invisíveis. Comida: 4/5  /  Ambiente: 4/5 ❤️🙏2  /",cleber kouyomdjian,18,4.0/5,5,6.0,3,"9 meses atrás ontem passamos aqui no final do dia e o segurança, as 9:55 quase jogou a mesa em nossa mão, afinal está na hora de ele ir embora. voltamos hoje, o mesmo segurança aqui, com a mão no bolso, batendo papo com as atendentes… fiz meu pedido e 4 mesas foram atendidas na minha frente. fui perguntar e a desculpa foi pior ainda. e a atendente batendo papo com o segurança. aqui já foi bom, reformaram o ambiente e destruíram o atendimento. acho isso um absurdo. um monte de funcionário sem fazer nada… clientes invisíveis. comida: 4/5 / ambiente: 4/5 ❤️🙏2 /",564
William Ramos,,6.0,"5 meses atrás Não é a primeira vez e a terceira já, vende gelato mais não tem casquinha só no copinho.  /",william ramos,13,nan,3,6.0,3,"5 meses atrás não é a primeira vez e a terceira já, vende gelato mais não tem casquinha só no copinho. /",104
Bruna Almeida Silva,,3.0,"5 meses atrás A quantidade de funcionários não atende a demanda. Se está sempre cheio, precisa contratar mais funcionários. O atendimento também faz parte da experiência.  /",bruna almeida silva,19,nan,3,3.0,3,"5 meses atrás a quantidade de funcionários não atende a demanda. se está sempre cheio, precisa contratar mais funcionários. o atendimento também faz parte da experiência. /",172
Gianna Marques Zamberlan,,630.0,"6 anos atrás Ótimo atendimento e a comida maravilhosa. Não é barato, mas vale a pena. Recomendo  /",gianna marques zamberlan,24,nan,3,630.0,5,"6 anos atrás ótimo atendimento e a comida maravilhosa. não é barato, mas vale a pena. recomendo /",97
Fernando Azevedo,4.0/5,31.0,"6 meses atrás Refeição no local  /  Café da manhã  /  R$ 40–60 Fancy. Gosto mais de padoca No entanto, justiça seja feita. Extenso menu num lugar muito conveniente e fácil de parar. Agradável e bem carinho Comida: 3/5  /  Serviço: 4/5  /  Ambiente: 5/5  /",fernando azevedo,16,4.0/5,5,31.0,4,"6 meses atrás refeição no local / café da manhã / r$ 40–60 fancy. gosto mais de padoca no entanto, justiça seja feita. extenso menu num lugar muito conveniente e fácil de parar. agradável e bem carinho comida: 3/5 / serviço: 4/5 / ambiente: 5/5 /",246
Eduardo Nunes de Carvalho,,321.0,"Editado 3 anos atrás Deliciosas opções de café, chocolates e doces. Bem decorado e aconchegante, com a conveniência de funcionamento 24 horas. Atendentes prestativas e simpáticas. Desafio apenas é encontrar estacionamento, mas há vagas no outro lado da rua. Preço acima do mercado, porém justifica pela qualidade. Dica gulosa: pedir espresso duplo com um charutinho de chocolate ou bomba de café.  /",eduardo nunes de carvalho,25,nan,3,321.0,5,"editado 3 anos atrás deliciosas opções de café, chocolates e doces. bem decorado e aconchegante, com a conveniência de funcionamento 24 horas. atendentes prestativas e simpáticas. desafio apenas é encontrar estacionamento, mas há vagas no outro lado da rua. preço acima do mercado, porém justifica pela qualidade. dica gulosa: pedir espresso duplo com um charutinho de chocolate ou bomba de café. /",398
Audrey Prestes,,2100.0,"2 anos atrás Pão de queijo multi grãos e chocolate quente tradicional, MARAVILHOSOS! Atendimento bom também. 🙏1  /",audrey prestes,14,nan,3,2100.0,6,"2 anos atrás pão de queijo multi grãos e chocolate quente tradicional, maravilhosos! atendimento bom também. 🙏1 /",113
Fabiana Victor,,3.0,"Editado 7 meses atrás Hj fui nessa ofner,atendimento péssimo,as balconistas estavam no mundo da lua,essas doidas,eu pedi uma bomba de pistache e 1 cone de morango com chocolate pra viagem,colocaram 2 cones de morango na sacola,só vi quando eu cheguei em casa.cadê a bomba de pistache suas insolentes?não recomendo pra ninguém.  /",fabiana victor,14,nan,3,3.0,3,"editado 7 meses atrás hj fui nessa ofner,atendimento péssimo,as balconistas estavam no mundo da lua,essas doidas,eu pedi uma bomba de pistache e 1 cone de morango com chocolate pra viagem,colocaram 2 cones de morango na sacola,só vi quando eu cheguei em casa.cadê a bomba de pistache suas insolentes?não recomendo pra ninguém. /",328
Joana Perosa,1.3/5,,"10 meses atrás Péssimo atendimento. Cheguei no local com amigos, as 20:00 de um sábado, a comida levou mais de 1 hora para chegar, os atendentes só ficavam respondendo, vamos checar e a comida não vinha, quando veio, comida fria, insossa. Isso porque o lugar tinha apenas umas outras 3 mesas. Péssima experiência Comida: 1/5  /  Serviço: 1/5  /  Ambiente: 2/5  /",joana perosa,12,1.3/5,5,nan,3,"10 meses atrás péssimo atendimento. cheguei no local com amigos, as 20:00 de um sábado, a comida levou mais de 1 hora para chegar, os atendentes só ficavam respondendo, vamos checar e a comida não vinha, quando veio, comida fria, insossa. isso porque o lugar tinha apenas umas outras 3 mesas. péssima experiência comida: 1/5 / serviço: 1/5 / ambiente: 2/5 /",357
Hilton Brinks,,2543.0,"7 anos atrás Salgadinhos, doces, sorvetes, café tudo saboroso e com qualidade !!! Foi uma ótima opção para o lanche do dia 1 de Janeiro. 🙏1  /",hilton brinks,13,nan,3,2543.0,6,"7 anos atrás salgadinhos, doces, sorvetes, café tudo saboroso e com qualidade !!! foi uma ótima opção para o lanche do dia 1 de janeiro. 🙏1 /",141
Eliane Shiroze,2.7/5,,"um ano atrás Após a reforma o ambiente ficou bem bonito, porém o atendimento precisa melhorar bastante!! Parece que os atendentes ""fingem"" que não estão te vendo... uma canseira para ser atendido!! Qdo finalmente fui atendida, pedi uma fatia de bolo de pistache, conforme o cardápio, e o atendente disse que não tinha fatia, somente o bolo inteiro estava disponível... Pois, se tinha o bolo inteiro, por quê não podia fatiá-lo?? Então não coloquem essa opção no cardápio!! Comida: 3/5  /  Serviço: 1/5  /  Ambiente: 4/5  /",eliane shiroze,14,2.7/5,5,nan,3,"um ano atrás após a reforma o ambiente ficou bem bonito, porém o atendimento precisa melhorar bastante!! parece que os atendentes ""fingem"" que não estão te vendo... uma canseira para ser atendido!! qdo finalmente fui atendida, pedi uma fatia de bolo de pistache, conforme o cardápio, e o atendente disse que não tinha fatia, somente o bolo inteiro estava disponível... pois, se tinha o bolo inteiro, por quê não podia fatiá-lo?? então não coloquem essa opção no cardápio!! comida: 3/5 / serviço: 1/5 / ambiente: 4/5 /",517
Adriana Koide,,141.0,"8 anos atrás Sabores suaves, contraditoriamente marcantes! A mini torta de chocolate com maracujá eleva o ânimo e te faz agradecer por estar viva! 🙏1  /",adriana koide,13,nan,3,141.0,5,"8 anos atrás sabores suaves, contraditoriamente marcantes! a mini torta de chocolate com maracujá eleva o ânimo e te faz agradecer por estar viva! 🙏1 /",151
Isabela Assis,3.0/5,,"7 meses atrás Pela segunda vez vou até a loja e não sou bem atendida pelos funcionários, passam clientes na minha frente e não são educados. Péssimo atendimento! Comida: 5/5  /  Serviço: 1/5  /",isabela assis,13,3.0/5,5,nan,3,"7 meses atrás pela segunda vez vou até a loja e não sou bem atendida pelos funcionários, passam clientes na minha frente e não são educados. péssimo atendimento! comida: 5/5 / serviço: 1/5 /",190
Luana Vigar,4.3/5,,"·1 foto um ano atrás qualidade está caindo! camafeu antes perfeito, agora tem pequenos pedaços duros de casca de nozes. descontinuadas vários produtos bons, como o gelato de limão e o polpelini de chocolate. atendimento muito demorado. Comida: 4/5  /  Serviço: 4/5  /  Ambiente: 5/5  /",luana vigar,11,4.3/5,5,nan,3,"·1 foto um ano atrás qualidade está caindo! camafeu antes perfeito, agora tem pequenos pedaços duros de casca de nozes. descontinuadas vários produtos bons, como o gelato de limão e o polpelini de chocolate. atendimento muito demorado. comida: 4/5 / serviço: 4/5 / ambiente: 5/5 /",280
Ricardo Alberto de Godoy Barsotti,,,"·1 foto um ano atrás Hoje fui a ofner da rua caiubi aonde eu desde os meus 7 anos ia com a minha família. Fazia uns anos que não ia lá. Pois hoje tive a vontade de ir comprar chocolate a granel e para a minha surpresa não fazem mais , só chocolate em caixas cheia de fru fru.....gourmetizaram mais uma loja de história. Reformaram o lugar que ficou bonito mais o principal tiraram de linha. Descanse em paz mais uma rede de chocolates que já foi referência. Procurem pela di Siena quem gosta da ofner de antigamente, muito melhor em tudo. 🙏1  /",ricardo alberto de godoy barsotti,33,nan,3,nan,3,"·1 foto um ano atrás hoje fui a ofner da rua caiubi aonde eu desde os meus 7 anos ia com a minha família. fazia uns anos que não ia lá. pois hoje tive a vontade de ir comprar chocolate a granel e para a minha surpresa não fazem mais , só chocolate em caixas cheia de fru fru.....gourmetizaram mais uma loja de história. reformaram o lugar que ficou bonito mais o principal tiraram de linha. descanse em paz mais uma rede de chocolates que já foi referência. procurem pela di siena quem gosta da ofner de antigamente, muito melhor em tudo. 🙏1 /",543
Fabricio Castro,5.0/5,,"6 meses atrás Para viagem  /  Outro  /  +R$ 200 Bons produtos, montaram um bolo pra mim na hora. Super fresco. Comida: 5/5  /  Serviço: 5/5  /  Ambiente: 5/5 🙏1  /",fabricio castro,15,5.0/5,5,nan,3,"6 meses atrás para viagem / outro / +r$ 200 bons produtos, montaram um bolo pra mim na hora. super fresco. comida: 5/5 / serviço: 5/5 / ambiente: 5/5 🙏1 /",154
MArio Kio,,5134.0,2 anos atrás O morango estava muito azedo e outro doce com recheio de sabor excelente  /,mario kio,9,nan,3,5134.0,6,2 anos atrás o morango estava muito azedo e outro doce com recheio de sabor excelente /,87
